size,value,gen_time_1,gen_time_2,zip_time,reduce_time
10,2.75197,94.8273,0.0767,0.138,0.3994
100,33.9632,0.7778,0.1036,0.071,0.3777
1000,329.091,0.593,0.1381,0.0684,0.4782
10000,3360.28,0.6093,0.1645,0.0371,0.5501
100000,33322,1.3666,0.9525,0.4664,0.52
1000000,333379,11.9526,10.6952,1.0582,1.4158
10000000,3.33525e+06,122.689,123.82,4.0318,3.7884
100000000,3.33313e+07,1346.98,1352.34,31.3078,25.0205
