size,value,gen_time_1,gen_time_2,zip_time,reduce_time
10,2.56372,0.0076,0.0009,0.0008,0.0002
100,24,0.0075,0.0069,0.0016,0.0004
1000,231.544,0.0812,0.0869,0.0091,0.0033
10000,2503.27,0.8586,0.8704,0.1512,0.0306
100000,24992.6,8.7903,8.8296,1.4709,0.3281
1000000,249448,81.5175,82.1949,9.9599,3.2276
10000000,2.50058e+06,952.106,828.465,94.0221,30.3485
100000000,2.50024e+07,8234.99,8292.72,912.67,293.34
