size,value,gen_time_1,gen_time_2,zip_time,reduce_time
10,2.75197,140.683,0.0607,0.0367,0.14
10,2.75197,0.3938,0.0502,0.0138,0.0659
100,33.9632,0.3178,0.0694,0.0136,0.0871
1000,329.091,0.3341,0.1319,0.0132,0.1199
10000,3360.28,0.4736,0.2474,0.0136,0.1867
100000,33322,1.8956,1.7009,0.3009,0.2288
1000000,333379,19.2491,19.4987,0.7388,1.0981
10000000,3.33525e+06,194.254,193.271,4.1182,3.6954
100000000,3.33313e+07,2150.77,2158.69,193.904,378.958
