size,value,gen_time_1,gen_time_2,zip_time,reduce_time
10,2.75197,95.133,0.0693,0.1119,0.2877
10,2.75197,0.7398,0.0827,0.0714,0.2176
100,33.9632,0.7324,0.0752,0.0457,0.2194
1000,329.091,0.675,0.1135,0.0378,0.3227
10000,3360.28,0.5816,0.1744,0.0372,0.4222
100000,33322,1.8908,1.6095,0.5006,0.5354
1000000,333379,12.7303,11.6097,1.0277,2.4191
10000000,3.33525e+06,126.198,114.939,4.9592,5.5497
100000000,3.33313e+07,1270.3,1267.9,28.8058,23.3684
